age,salary,gender,department,education_level,experience_years,city,disease
56.0,23343.0,Male,Tech,Master,35,Bangalore,0
69.0,33500.0,Male,Sales,High School,7,Bangalore,0
46.0,73222.0,Male,Tech,Master,28,Bangalore,0
32.0,49375.0,Female,Tech,High School,31,Mumbai,0
60.0,29662.0,Female,Sales,High School,17,Bangalore,0
,36964.0,Female,Tech,PhD,5,Delhi,0
38.0,133429.0,Male,Sales,PhD,17,Delhi,0
56.0,141692.0,Female,Tech,PhD,18,Mumbai,0
36.0,79638.0,Male,Sales,Master,21,Delhi,0
40.0,93666.0,Female,HR,Bachelor,36,Delhi,0
28.0,,Female,Finance,High School,31,Bangalore,0
28.0,138937.0,Female,Sales,High School,2,Delhi,0
41.0,87215.0,Male,Sales,High School,27,Mumbai,0
53.0,89042.0,,Finance,Master,9,Bangalore,0
57.0,33284.0,Female,Sales,PhD,34,Chennai,0
41.0,92789.0,Male,Sales,Bachelor,28,Bangalore,1
20.0,104664.0,Female,Tech,Master,14,Mumbai,0
39.0,,Male,Finance,PhD,32,Bangalore,0
19.0,81389.0,Female,HR,Master,6,Bangalore,1
41.0,29435.0,Male,Sales,Bachelor,11,Mumbai,0
61.0,74340.0,Male,Finance,PhD,29,Bangalore,0
47.0,64078.0,Female,Tech,Master,20,Mumbai,0
55.0,,Male,HR,Bachelor,30,Mumbai,0
19.0,71293.0,Male,Finance,High School,23,Chennai,0
38.0,115981.0,Male,HR,Bachelor,19,Delhi,0
50.0,98781.0,,HR,High School,36,Delhi,0
29.0,80403.0,Male,HR,Master,3,Bangalore,0
39.0,49124.0,Male,Sales,PhD,27,Bangalore,0
61.0,115435.0,Female,Sales,PhD,19,Chennai,0
42.0,63919.0,Male,Tech,Master,23,Chennai,0
66.0,,Male,Tech,PhD,31,Chennai,0
44.0,141305.0,Female,Finance,PhD,35,Mumbai,0
59.0,55247.0,,Tech,High School,33,Chennai,0
,141172.0,Female,HR,Master,35,Chennai,0
33.0,114758.0,Female,HR,Bachelor,1,Bangalore,0
32.0,111747.0,Female,Sales,High School,14,Chennai,0
64.0,,Female,HR,Master,33,Mumbai,1
,76573.0,Female,Finance,High School,35,Mumbai,0
,79101.0,Male,HR,Bachelor,5,Bangalore,0
,122756.0,Male,HR,Bachelor,38,Chennai,0
20.0,46646.0,,Finance,Master,11,Chennai,0
54.0,124185.0,Male,Tech,Bachelor,2,Mumbai,0
68.0,43049.0,Male,Tech,High School,17,Chennai,1
24.0,99605.0,Male,Finance,Bachelor,39,Chennai,0
38.0,118116.0,Female,Sales,High School,20,Chennai,0
26.0,117379.0,Female,HR,High School,14,Delhi,0
56.0,88385.0,Male,Finance,Bachelor,32,Bangalore,0
35.0,146131.0,Female,HR,Master,34,Delhi,0
21.0,60158.0,Male,Sales,PhD,25,Bangalore,0
42.0,85417.0,Male,HR,Bachelor,7,Mumbai,0
31.0,43289.0,Male,Finance,High School,35,Chennai,0
67.0,,Male,HR,High School,29,Bangalore,0
26.0,120793.0,,Tech,Bachelor,22,Delhi,1
43.0,29823.0,Female,Sales,Master,13,Chennai,0
19.0,80160.0,Female,Sales,Master,13,Mumbai,0
37.0,,Male,Sales,High School,1,Bangalore,0
45.0,29540.0,Female,Finance,High School,36,Bangalore,0
64.0,36364.0,Male,Sales,Master,4,Bangalore,1
24.0,24611.0,Female,Tech,PhD,37,Chennai,0
61.0,,Male,Finance,Bachelor,13,Delhi,0
25.0,,Male,Tech,High School,38,Delhi,1
,77679.0,Male,HR,High School,24,Bangalore,0
52.0,124182.0,Female,HR,Master,19,Mumbai,1
31.0,50977.0,Female,HR,Bachelor,1,Mumbai,0
34.0,114704.0,,HR,Master,38,Delhi,0
53.0,69115.0,Female,Tech,Bachelor,5,Mumbai,0
67.0,111007.0,Male,Finance,Bachelor,16,Delhi,0
57.0,108223.0,Female,Finance,Bachelor,24,Bangalore,1
21.0,80890.0,Female,Sales,High School,27,Delhi,0
19.0,86387.0,Male,Tech,PhD,1,Delhi,0
23.0,38071.0,Male,HR,Master,34,Bangalore,0
59.0,79275.0,Male,Tech,PhD,36,Mumbai,0
21.0,92369.0,Female,Sales,Master,4,Delhi,0
46.0,31938.0,Male,Sales,Bachelor,0,Delhi,1
35.0,55195.0,Male,Tech,High School,39,Bangalore,0
,111680.0,Male,Tech,PhD,11,Mumbai,0
61.0,,Female,Tech,High School,35,Delhi,0
,90588.0,Male,Finance,Master,22,Bangalore,0
27.0,121042.0,Female,HR,High School,30,Delhi,0
,113610.0,Female,Tech,High School,10,Chennai,0
31.0,140420.0,Male,Tech,PhD,9,Bangalore,1
48.0,123691.0,Male,Tech,Bachelor,2,Mumbai,0
65.0,126306.0,Female,Sales,High School,13,Mumbai,0
32.0,117856.0,Male,Sales,Bachelor,15,Mumbai,0
,58304.0,Male,Finance,Master,9,Mumbai,1
31.0,131783.0,Female,HR,High School,28,Delhi,0
40.0,,Female,Finance,PhD,9,Delhi,0
57.0,102986.0,Male,HR,Master,11,Mumbai,0
38.0,109643.0,Female,Sales,Master,29,Mumbai,0
33.0,40764.0,Male,Sales,PhD,0,Mumbai,0
