label,message
ham,"Go until jurong point, crazy. Available only in bugis n great world la e buffet."
ham,Ok lar... Joking wif u oni...
spam,Free entry in a 2 wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121
ham,U dun say so early hor... U already then say...
ham,"Nah I dont think he goes to usf, he lives around here though"
ham,FreeMsg Hey there darling its been 3 weeks now and no word back
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request Melle Melle has been set as your callertune
spam,WINNER!! As a valued network customer you have been selected to receive a reward
spam,Had your mobile 11 months or more? You are entitled to update
ham,Im gonna be home soon and i dont want to talk about this stuff anymore
spam,Six chances to win CASH! From 100 to 20000 pounds text CSH11
spam,URGENT! You have won a 1 week FREE membership
